Glycan_ID	Glycan_Structure
G_19	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a2-6)Neu5Ac}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)Neu5Ac}}}}]{(a1-3)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)Neu5Ac}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)Neu5Ac}}}}}}
G_20	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}}}
G_21	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}}}
G_22	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal}}}}}}
G_23	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}}
G_24	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}}}
G_25	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}}
G_26	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}}
G_27	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}}
G_28	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}}
G_29	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}}
G_30	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}}}
G_31	{(b1-4)Man[{(a1-6)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}]{(a1-3)Man{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}}}}}
