Glycan_ID	Glycan_Structure
G_2757	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2758	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2759	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2760	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}
G_2761	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}
G_2762	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}}}}
G_2763	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2764	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2765	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2766	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2767	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2768	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2769	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2770	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2771	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2772	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2773	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2774	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2775	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2776	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2777	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2778	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2779	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2780	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2781	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2782	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2783	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2784	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2785	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2786	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2787	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2788	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2789	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2790	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2791	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2792	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2793	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2794	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2795	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2796	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2797	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2798	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2799	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2800	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2801	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2802	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2803	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2804	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(a1-3)IdoA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2805	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2806	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2807	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2808	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2809	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2810	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2811	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2812	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}}}}
G_2813	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-6)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal}}}}}
G_2814	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
G_2815	[{(a1-6)Fuc}]{(b1-4)GlcNAc{(b1-4)Man[{(a1-6)Man[{(b1-6)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}]{(b1-4)GlcNAc{(b1-4)Gal{(b1-2)GlcNAc{(b1-4)Gal}}}}}]{(a1-3)Man[{(b1-4)GlcNAc{(b1-4)Gal{(b1-3)GlcA}}}]{(b1-2)GlcNAc{(b1-4)Gal{(a2-3)NeuAc}}}}}}
